Audit Board,Batch Name,Ballot Number,Storage Location,Tabulator,Ticket Numbers,Already Audited,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,Total Ballots,,Bennet,Biden,Bloomberg,Booker,Buttigieg,Gabbard,Klobuchar,Patrick,Sanders,Steyer,Warren,Write-In,O/U,,Dodge,Rountree,O/U,,Scearce,Setzer,O/U,,Nonpartisan,,,
Audit Board #2,A0085,180,,,0.002224659,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0086,58,,,0.002418835,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0086,122,,,0.001276481,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,14,,,0.003178318,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,84,,,0.002882930,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0093,182,,,0.000448370,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0095,116,,,0.000131179,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0095,120,,,0.002215113,N,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0101,142,,,0.002681739,N,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0113,128,,,0.000767084,N,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Board #2,A0114,165,,,0.001019605,N,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
